Department,EmployeeNumber,MonthlyIncome,HighestDepartmentSalary,SalaryDifference
"Human Resources",1419,7988,19717,11729
"Human Resources",1747,2180,19717,17537
"Human Resources",1746,2145,19717,17572
"Human Resources",1098,10482,19717,9235
"Human Resources",909,5204,19717,14513
"Human Resources",910,2277,19717,17440
"Human Resources",1625,19658,19717,59
"Human Resources",847,3737,19717,15980
"Human Resources",177,2942,19717,16775
"Human Resources",1408,16799,19717,2918
"Human Resources",1352,14026,19717,5691
"Human Resources",2040,8837,19717,10880
"Human Resources",1744,9756,19717,9961
"Human Resources",184,6347,19717,13370
"Human Resources",424,6410,19717,13307
"Human Resources",1152,2844,19717,16873
"Human Resources",103,5021,19717,14696
"Human Resources",1987,2187,19717,17530
"Human Resources",566,2564,19717,17153
"Human Resources",1563,6077,19717,13640
"Human Resources",644,18200,19717,1517
"Human Resources",1973,19636,19717,81
"Human Resources",1972,2991,19717,16726
"Human Resources",1722,6430,19717,13287
"Human Resources",1944,2863,19717,16854
"Human Resources",1890,3886,19717,15831
"Human Resources",1550,16437,19717,3280
"Human Resources",1499,2064,19717,17653
"Human Resources",731,19141,19717,576
"Human Resources",1865,2804,19717,16913
"Human Resources",869,4936,19717,14781
"Human Resources",734,19189,19717,528
"Human Resources",1714,1555,19717,18162
"Human Resources",1049,2177,19717,17540
"Human Resources",1338,19717,19717,0
"Human Resources",878,2342,19717,17375
"Human Resources",590,9950,19717,9767
"Human Resources",133,2073,19717,17644
"Human Resources",665,5985,19717,13732
"Human Resources",1858,2706,19717,17011
"Human Resources",1467,2742,19717,16975
"Human Resources",1314,3423,19717,16294
"Human Resources",140,18844,19717,873
"Human Resources",1289,4490,19717,15227
"Human Resources",1844,2335,19717,17382
"Human Resources",1231,6272,19717,13445
"Human Resources",1683,3195,19717,16522
"Human Resources",1842,2956,19717,16761
"Human Resources",760,6389,19717,13328
"Human Resources",148,17328,19717,2389
"Human Resources",1818,2148,19717,17569
"Human Resources",1207,3600,19717,16117
"Human Resources",608,2741,19717,16976
"Human Resources",321,2267,19717,17450
"Human Resources",829,2143,19717,17574
"Human Resources",1461,2109,19717,17608
"Human Resources",1805,2592,19717,17125
"Human Resources",1794,4071,19717,15646
"Human Resources",1642,5743,19717,13974
"Human Resources",470,2696,19717,17021
"Human Resources",698,10725,19717,8992
"Human Resources",1778,3539,19717,16178
"Human Resources",1164,4323,19717,15394
"Research & Development",249,3690,19999,16309
"Research & Development",2,5130,19999,14869
"Research & Development",4,2090,19999,17909
"Research & Development",5,2909,19999,17090
"Research & Development",7,3468,19999,16531
"Research & Development",8,3068,19999,16931
"Research & Development",10,2670,19999,17329
"Research & Development",11,2693,19999,17306
"Research & Development",12,9526,19999,10473
"Research & Development",13,5237,19999,14762
"Research & Development",14,2426,19999,17573
"Research & Development",15,4193,19999,15806
"Research & Development",16,2911,19999,17088
"Research & Development",18,2661,19999,17338
"Research & Development",19,2028,19999,17971
"Research & Development",20,9980,19999,10019
"Research & Development",21,3298,19999,16701
"Research & Development",22,2935,19999,17064
"Research & Development",1640,3936,19999,16063
"Research & Development",24,3944,19999,16055
"Research & Development",26,4011,19999,15988
"Research & Development",1641,7945,19999,12054
"Research & Development",28,11994,19999,8005
"Research & Development",30,1232,19999,18767
"Research & Development",31,2960,19999,17039
"Research & Development",32,19094,19999,905
"Research & Development",33,3919,19999,16080
"Research & Development",1644,15202,19999,4797
"Research & Development",36,10248,19999,9751
"Research & Development",1646,3760,19999,16239
"Research & Development",39,2496,19999,17503
"Research & Development",40,6465,19999,13534
"Research & Development",41,2206,19999,17793
"Research & Development",1647,3517,19999,16482
"Research & Development",45,2293,19999,17706
"Research & Development",46,2645,19999,17354
"Research & Development",1648,2580,19999,17419
"Research & Development",1649,2166,19999,17833
"Research & Development",51,3419,19999,16580
"Research & Development",1651,8008,19999,11991
"Research & Development",53,1951,19999,18048
"Research & Development",54,2341,19999,17658
"Research & Development",55,2293,19999,17706
"Research & Development",1653,5206,19999,14793
"Research & Development",57,4011,19999,15988
"Research & Development",58,19545,19999,454
"Research & Development",1654,5295,19999,14704
"Research & Development",61,3022,19999,16977
"Research & Development",1655,16413,19999,3586
"Research & Development",63,2269,19999,17730
"Research & Development",64,5381,19999,14618
"Research & Development",65,3441,19999,16558
"Research & Development",1656,13269,19999,6730
"Research & Development",70,9884,19999,10115
"Research & Development",1658,5433,19999,14566
"Research & Development",73,13458,19999,6541
"Research & Development",1659,2013,19999,17986
"Research & Development",75,4014,19999,15985
"Research & Development",76,5915,19999,14084
"Research & Development",77,5993,19999,14006
"Research & Development",78,6162,19999,13837
"Research & Development",79,2406,19999,17593
"Research & Development",80,18740,19999,1259
"Research & Development",1661,13966,19999,6033
"Research & Development",83,10096,19999,9903
"Research & Development",84,14756,19999,5243
"Research & Development",85,6499,19999,13500
"Research & Development",86,9724,19999,10275
"Research & Development",88,2194,19999,17805
"Research & Development",90,3388,19999,16611
"Research & Development",1662,4374,19999,15625
"Research & Development",94,2703,19999,17296
"Research & Development",95,2501,19999,17498
"Research & Development",96,6220,19999,13779
"Research & Development",97,3038,19999,16961
"Research & Development",98,4424,19999,15575
"Research & Development",1664,6842,19999,13157
"Research & Development",101,13245,19999,6754
"Research & Development",102,13664,19999,6335
"Research & Development",104,5126,19999,14873
"Research & Development",105,2859,19999,17140
"Research & Development",1665,17426,19999,2573
"Research & Development",107,5329,19999,14670
"Research & Development",110,4325,19999,15674
"Research & Development",112,7260,19999,12739
"Research & Development",1666,17603,19999,2396
"Research & Development",116,2075,19999,17924
"Research & Development",117,4152,19999,15847
"Research & Development",1668,4735,19999,15264
"Research & Development",119,13503,19999,6496
"Research & Development",1671,5470,19999,14529
"Research & Development",1674,2587,19999,17412
"Research & Development",124,10673,19999,9326
"Research & Development",1675,2440,19999,17559
"Research & Development",126,13549,19999,6450
"Research & Development",1677,15379,19999,4620
"Research & Development",1682,5347,19999,14652
"Research & Development",1684,3989,19999,16010
"Research & Development",132,2042,19999,17957
"Research & Development",134,2956,19999,17043
"Research & Development",137,2926,19999,17073
"Research & Development",138,4809,19999,15190
"Research & Development",139,5163,19999,14836
"Research & Development",141,18172,19999,1827
"Research & Development",1687,3306,19999,16693
"Research & Development",143,2889,19999,17110
"Research & Development",144,2871,19999,17128
"Research & Development",145,7484,19999,12515
"Research & Development",147,6074,19999,13925
"Research & Development",150,2774,19999,17225
"Research & Development",151,4505,19999,15494
"Research & Development",1689,7005,19999,12994
"Research & Development",153,11631,19999,8368
"Research & Development",1692,1393,19999,18606
"Research & Development",155,2835,19999,17164
"Research & Development",1693,2570,19999,17429
"Research & Development",159,2613,19999,17386
"Research & Development",1694,3537,19999,16462
"Research & Development",161,4963,19999,15036
"Research & Development",162,19537,19999,462
"Research & Development",1696,3986,19999,16013
"Research & Development",164,2368,19999,17631
"Research & Development",165,10312,19999,9687
"Research & Development",1697,10883,19999,9116
"Research & Development",169,2523,19999,17476
"Research & Development",170,6567,19999,13432
"Research & Development",171,4739,19999,15260
"Research & Development",1698,2028,19999,17971
"Research & Development",1701,2929,19999,17070
"Research & Development",1703,7879,19999,12120
"Research & Development",178,4941,19999,15058
"Research & Development",179,10650,19999,9349
"Research & Development",1704,4930,19999,15069
"Research & Development",1707,4401,19999,15598
"Research & Development",190,4200,19999,15799
"Research & Development",192,3452,19999,16547
"Research & Development",193,4317,19999,15682
"Research & Development",194,2632,19999,17367
"Research & Development",1709,2974,19999,17025
"Research & Development",197,3204,19999,16795
"Research & Development",198,2720,19999,17279
"Research & Development",199,17181,19999,2818
"Research & Development",200,2238,19999,17761
"Research & Development",201,1483,19999,18516
"Research & Development",202,5605,19999,14394
"Research & Development",1712,10748,19999,9251
"Research & Development",1718,2305,19999,17694
"Research & Development",206,2348,19999,17651
"Research & Development",1719,16704,19999,3295
"Research & Development",208,4319,19999,15680
"Research & Development",211,6132,19999,13867
"Research & Development",214,3346,19999,16653
"Research & Development",1720,3433,19999,16566
"Research & Development",1721,3477,19999,16522
"Research & Development",217,2323,19999,17676
"Research & Development",218,2024,19999,17975
"Research & Development",221,2713,19999,17286
"Research & Development",223,9439,19999,10560
"Research & Development",224,2566,19999,17433
"Research & Development",226,19926,19999,73
"Research & Development",227,2451,19999,17548
"Research & Development",1724,6516,19999,13483
"Research & Development",1725,3907,19999,16092
"Research & Development",231,3038,19999,16961
"Research & Development",233,3058,19999,16941
"Research & Development",1727,5562,19999,14437
"Research & Development",238,2088,19999,17911
"Research & Development",239,3072,19999,16927
"Research & Development",1728,6883,19999,13116
"Research & Development",241,4257,19999,15742
"Research & Development",242,2500,19999,17499
"Research & Development",243,1102,19999,18897
"Research & Development",1729,2862,19999,17137
"Research & Development",245,2288,19999,17711
"Research & Development",246,3929,19999,16070
"Research & Development",247,2311,19999,17688
"Research & Development",1735,3295,19999,16704
"Research & Development",1022,4240,19999,15759
"Research & Development",250,4450,19999,15549
"Research & Development",252,2756,19999,17243
"Research & Development",253,19033,19999,966
"Research & Development",254,18722,19999,1277
"Research & Development",256,9547,19999,10452
"Research & Development",258,13734,19999,6265
"Research & Development",259,19999,19999,0
"Research & Development",260,2279,19999,17720
"Research & Development",261,5916,19999,14083
