EmployeeNumber,MonthlyIncome,DenseRank,RankValue,RowNumber
259,19999,1,1,1
1035,19973,2,2,2
1191,19943,3,3,3
226,19926,4,4,4
787,19859,5,5,5
1282,19847,6,6,6
1038,19845,7,7,7
1740,19833,8,8,8
1255,19740,9,9,9
1338,19717,10,10,10
1423,19701,11,11,11
1867,19665,12,12,12
1625,19658,13,13,13
1973,19636,14,14,14
1069,19627,15,15,15
1128,19626,16,16,16
1595,19613,17,17,17
1578,19586,18,18,18
549,19566,19,19,19
58,19545,20,20,20
162,19537,21,21,21
323,19517,22,22,22
671,19513,23,23,23
638,19502,24,24,24
352,19436,25,25,25
2022,19431,26,26,26
999,19419,27,27,27
522,19406,28,28,28
1866,19392,29,29,29
1591,19331,30,30,30
1789,19328,31,31,31
444,19272,32,32,32
825,19246,33,33,33
1061,19237,34,34,34
319,19232,35,35,35
336,19202,36,36,36
531,19197,37,37,37
1288,19190,38,38,38
734,19189,39,39,39
1336,19187,40,40,40
1941,19161,41,41,41
385,19144,42,42,42
731,19141,43,43,43
32,19094,44,44,44
1217,19081,45,45,45
329,19068,46,46,46
1608,19049,47,47,47
374,19045,48,48,48
1770,19038,49,49,49
253,19033,50,50,50
38,18947,51,51,51
2031,18880,52,52,52
140,18844,53,53,53
1277,18824,54,54,54
1280,18789,55,55,55
80,18740,56,56,56
254,18722,57,57,57
1256,18711,58,58,58
396,18665,59,59,59
1201,18606,60,60,60
809,18430,61,61,61
1029,18303,62,62,62
447,18300,63,63,63
1263,18265,64,64,64
1267,18213,65,65,65
644,18200,66,66,66
141,18172,67,67,67
1306,18061,68,68,68
558,18041,69,69,69
905,17924,70,70,70
1938,17875,71,71,71
575,17861,72,72,72
1334,17861,72,72,73
1215,17856,73,74,74
1250,17779,74,75,75
1109,17665,75,76,76
1045,17650,76,77,77
815,17639,77,78,78
1666,17603,78,79,79
386,17584,79,80,80
1602,17567,80,81,81
1124,17465,81,82,82
992,17444,82,83,83
1665,17426,83,84,84
997,17399,84,85,85
148,17328,85,86,86
1422,17328,85,86,87
199,17181,86,88,88
1900,17174,87,89,89
1443,17169,88,90,90
843,17159,89,91,91
1307,17123,90,92,92
976,17099,91,93,93
429,17068,92,94,94
1204,17048,93,95,95
569,17046,94,96,96
1485,17007,95,97,97
158,16959,96,98,98
1116,16885,97,99,99
1317,16880,98,100,100
363,16872,99,101,101
776,16856,100,102,102
597,16835,101,103,103
1892,16823,102,104,104
1408,16799,103,105,105
264,16792,104,106,106
1074,16756,105,107,107
820,16752,106,108,108
1719,16704,107,109,109
505,16659,108,110,110
661,16627,109,111,111
1527,16606,110,112,112
1472,16598,111,113,113
625,16595,112,114,114
546,16555,113,115,115
1550,16437,114,116,116
1430,16422,115,117,117
1655,16413,116,118,118
1523,16328,117,119,119
851,16307,118,120,120
1824,16291,119,121,121
612,16184,120,122,122
1264,16124,121,123,123
327,16064,122,124,124
1520,16032,123,125,125
410,16015,124,126,126
468,15992,125,127,127
1676,15972,126,128,128
1837,15787,127,129,129
23,15427,128,130,130
664,15402,129,131,131
1677,15379,130,132,132
1644,15202,131,133,133
981,14852,132,134,134
730,14814,133,135,135
84,14756,134,136,136
1424,14732,135,137,137
1539,14411,136,138,138
520,14336,137,139,139
901,14275,138,140,140
568,14118,139,141,141
1352,14026,140,142,142
1005,13973,141,143,143
1661,13966,142,144,144
431,13964,143,145,145
131,13872,144,146,146
867,13826,145,147,147
746,13770,146,148,148
1167,13758,147,149,149
1468,13757,148,150,150
2017,13744,149,151,151
258,13734,150,152,152
1032,13726,151,153,153
1372,13695,152,154,154
337,13675,153,155,155
102,13664,154,156,156
582,13610,155,157,157
380,13603,156,158,158
298,13591,157,159,159
950,13582,158,160,160
1278,13577,159,161,161
2034,13570,160,162,162
126,13549,161,163,163
404,13525,162,164,164
119,13503,163,165,165
1166,13499,164,166,166
372,13496,165,167,167
1800,13464,166,168,168
73,13458,167,169,169
1373,13402,168,170,170
1911,13348,169,171,171
1975,13341,170,172,172
1039,13320,171,173,173
1656,13269,172,174,174
1401,13247,173,175,175
101,13245,174,176,176
601,13237,175,177,177
1863,13225,176,178,178
532,13212,177,179,179
2015,13206,178,180,180
986,13194,179,181,181
1242,13191,180,182,182
1367,13142,181,183,183
1138,13120,182,184,184
1786,13116,183,185,185
1775,12965,184,186,186
1716,12936,185,187,187
844,12808,186,188,188
1026,12742,187,189,189
473,12504,188,190,190
296,12490,189,191,191
306,12185,190,192,192
1127,12169,191,193,193
421,12061,192,194,194
2056,12031,193,195,195
381,11996,194,196,196
28,11994,195,197,197
2000,11957,196,198,198
564,11935,197,199,199
1321,11916,198,200,200
1048,11904,199,201,201
428,11878,200,202,202
376,11849,201,203,203
897,11836,202,204,204
742,11713,203,205,205
817,11691,204,206,206
153,11631,205,207,207
613,11557,206,208,208
461,11510,207,209,209
1015,11416,208,210,210
1606,11245,209,211,211
1516,11244,210,212,212
727,11159,211,213,213
762,11103,212,214,214
1979,11031,213,215,215
1024,10999,214,216,216
1096,10976,215,217,217
499,10965,216,218,218
343,10938,217,219,219
862,10934,218,220,220
615,10932,219,221,221
1397,10920,220,222,222
899,10903,221,223,223
1697,10883,222,224,224
1043,10880,223,225,225
215,10855,224,226,226
2055,10854,225,227,227
1460,10851,226,228,228
1007,10845,227,229,229
1126,10820,228,230,230
1076,10798,229,231,231
1453,10793,230,232,232
864,10761,231,233,233
1712,10748,232,234,234
1013,10739,233,235,235
698,10725,234,236,236
1070,10686,235,237,237
880,10685,236,238,238
124,10673,237,239,239
179,10650,238,240,240
581,10648,239,241,241
307,10609,240,242,242
970,10609,240,242,243
1391,10596,241,244,244
940,10552,242,245,245
624,10527,243,246,246
1283,10512,244,247,247
1245,10502,245,248,248
491,10496,246,249,249
1098,10482,247,250,250
729,10475,248,251,251
1484,10466,249,252,252
244,10453,250,253,253
1968,10448,251,254,254
1815,10447,252,255,255
1118,10445,253,256,256
1628,10435,254,257,257
2016,10422,255,258,258
291,10400,256,259,259
1014,10388,257,260,260
1243,10377,258,261,261
1732,10368,259,262,262
1827,10333,260,263,263
967,10325,261,264,264
1092,10322,262,265,265
165,10312,263,266,266
1639,10306,264,267,267
1182,10274,265,268,268
573,10266,266,269,269
1237,10252,267,270,270
36,10248,268,271,271
106,10239,269,272,272
1293,10231,270,273,273
845,10221,271,274,274
1496,10209,272,275,275
1572,10169,273,276,276
1547,10124,274,277,277
83,10096,275,278,278
1457,10096,275,278,279
342,10048,276,280,280
1360,10008,277,281,281
1395,9998,278,282,282
2062,9991,279,283,283
451,9985,280,284,284
293,9981,281,285,285
20,9980,282,286,286
592,9980,282,286,287
1084,9957,283,288,288
590,9950,284,289,289
2057,9936,285,290,290
1582,9924,286,291,291
1862,9907,287,292,292
1950,9888,288,293,293
70,9884,289,294,294
1933,9854,290,295,295
1324,9852,291,296,296
587,9824,292,297,297
634,9824,292,297,298
1744,9756,293,299,299
154,9738,294,300,300
1047,9725,295,301,301
86,9724,296,302,302
1544,9715,297,303,303
1562,9714,298,304,304
1882,9713,299,305,305
954,9705,300,306,306
481,9699,301,307,307
1966,9679,302,308,308
1816,9667,303,309,309
1833,9637,304,310,310
118,9619,305,311,311
417,9613,306,312,312
1739,9610,307,313,313
656,9602,308,314,314
1100,9582,309,315,315
256,9547,310,316,316
12,9526,311,317,317
1700,9525,312,318,318
223,9439,313,319,319
689,9434,314,320,320
228,9419,315,321,321
288,9396,316,322,322
1465,9380,317,323,323
1412,9362,318,324,324
488,9355,319,325,325
1425,9278,320,326,326
1568,9250,321,327,327
1708,9241,322,328,328
174,9208,323,329,329
1446,9204,324,330,330
1318,9094,325,331,331
580,9071,326,332,332
74,9069,327,333,333
207,8998,328,334,334
1218,8966,329,335,335
442,8943,330,336,336
2037,8938,331,337,337
1821,8926,332,338,338
302,8865,333,339,339
1073,8858,334,340,340
1590,8853,335,341,341
699,8847,336,342,342
2040,8837,337,343,343
626,8834,338,344,344
1088,8823,339,345,345
733,8793,340,346,346
314,8789,341,347,347
1119,8740,342,348,348
56,8726,343,349,349
1082,8722,344,350,350
230,8686,345,351,351
183,8639,346,352,352
1993,8633,347,353,353
1951,8628,348,354,354
717,8621,349,355,355
1497,8620,350,356,356
1529,8606,351,357,357
1857,8578,352,358,358
1758,8564,353,359,359
1344,8500,354,360,360
292,8474,355,361,361
1469,8463,356,362,362
1319,8446,357,363,363
567,8412,358,364,364
1066,8396,359,365,365
534,8392,360,366,366
682,8381,361,367,367
1268,8380,362,368,368
1525,8376,363,369,369
1749,8346,364,370,370
1790,8321,365,371,371
463,8268,366,372,372
1588,8237,367,373,373
1157,8224,368,374,374
176,8189,369,375,375
1761,8161,370,376,376
712,8120,371,377,377
1915,8103,372,378,378
464,8095,373,379,379
406,8020,374,380,380
1651,8008,375,381,381
1801,7991,376,382,382
1419,7988,377,383,383
1295,7978,378,384,384
543,7969,379,385,385
1641,7945,380,386,386
312,7918,381,387,387
1363,7898,382,388,388
985,7880,383,389,389
1703,7879,384,390,390
743,7861,385,391,391
1706,7847,386,392,392
984,7823,387,393,393
1133,7779,388,394,394
1103,7756,389,395,395
1638,7756,389,395,396
692,7725,390,397,397
1121,7655,391,398,398
840,7654,392,399,399
2024,7644,393,400,400
904,7642,394,401,401
283,7639,395,402,402
81,7637,396,403,403
586,7632,397,404,404
724,7625,398,405,405
513,7596,399,406,406
789,7587,400,407,407
1421,7553,401,408,408
438,7547,402,409,409
1050,7525,403,410,410
1971,7510,404,411,411
623,7491,405,412,412
145,7484,406,413,413
453,7457,407,414,414
1459,7446,408,415,415
1553,7441,409,416,416
152,7428,410,417,417
725,7412,411,418,418
605,7406,412,419,419
944,7403,413,420,420
1228,7379,414,421,421
1125,7351,415,422,422
1165,7336,416,423,423
1869,7314,417,424,424
204,7295,418,425,425
982,7264,419,426,426
112,7260,420,427,427
462,7143,421,428,428
1754,7140,422,429,429
1099,7119,423,430,430
677,7104,424,431,431
1312,7094,425,432,432
1535,7083,426,433,433
1678,7082,427,434,434
1689,7005,428,435,435
1847,6962,429,436,436
969,6949,430,437,437
947,6932,431,438,438
349,6931,432,439,439
416,6929,433,440,440
1355,6893,434,441,441
1728,6883,435,442,442
833,6877,436,443,443
1814,6870,437,444,444
1036,6861,438,445,445
1830,6854,439,446,446
1239,6852,440,447,447
1664,6842,441,448,448
1927,6834,442,449,449
1251,6833,443,450,450
35,6825,444,451,451
1585,6815,445,452,452
1252,6812,446,453,453
616,6811,447,454,454
764,6811,447,454,455
275,6804,448,456,456
754,6804,448,456,457
1823,6799,449,458,458
723,6796,450,459,459
1132,6782,451,460,460
477,6781,452,461,461
482,6755,453,462,462
1734,6735,454,463,463
2044,6728,455,464,464
966,6725,456,465,465
2035,6712,457,466,466
299,6696,458,467,467
1105,6694,459,468,468
1383,6687,460,469,469
1315,6674,461,470,470
282,6673,462,471,471
1955,6667,463,472,472
479,6653,464,473,473
2045,6652,465,474,474
1473,6651,466,475,475
691,6646,467,476,476
366,6644,468,477,477
783,6632,469,478,478
1260,6623,470,479,479
924,6586,471,480,480
1912,6583,472,481,481
604,6582,473,482,482
1179,6578,474,483,483
533,6577,475,484,484
170,6567,476,485,485
271,6553,477,486,486
1514,6549,478,487,487
347,6545,479,488,488
496,6540,480,489,489
523,6538,481,490,490
889,6524,482,491,491
1724,6516,483,492,492
1822,6513,484,493,493
378,6502,485,494,494
808,6500,486,495,495
1898,6500,486,495,496
85,6499,487,497,497
1196,6474,488,498,498
1737,6472,489,499,499
40,6465,490,500,500
635,6447,491,501,501
1557,6439,492,502,502
341,6434,493,503,503
1722,6430,494,504,504
424,6410,495,505,505
384,6397,496,506,506
785,6397,496,506,507
1560,6392,497,508,508
760,6389,498,509,509
1515,6388,499,510,510
1034,6385,500,511,511
1859,6384,501,512,512
492,6380,502,513,513
1375,6377,503,514,514
449,6349,504,515,515
184,6347,505,516,516
460,6347,505,516,517
1040,6347,505,516,518
868,6334,506,519,519
1985,6323,507,520,520
679,6322,508,521,521
2026,6306,509,522,522
1753,6294,510,523,523
837,6288,511,524,524
786,6274,512,525,525
641,6272,513,526,526
1231,6272,513,526,527
273,6261,514,528,528
936,6244,515,529,529
1399,6232,516,530,530
599,6230,517,531,531
96,6220,518,532,532
458,6214,519,533,533
1304,6209,520,534,534
857,6201,521,535,535
781,6180,522,536,536
1389,6179,523,537,537
163,6172,524,538,538
78,6162,525,539,539
830,6162,525,539,540
1329,6151,526,541,541
160,6146,527,542,542
757,6142,528,543,543
1587,6142,528,543,544
2064,6142,528,543,545
1733,6134,529,546,546
211,6132,530,547,547
1356,6125,531,548,548
1390,6120,532,549,549
456,6118,533,550,550
548,6091,534,551,551
1563,6077,535,552,552
