EmployeeNumber,SalaryRank
259,1
1035,2
1191,3
226,4
787,5
1282,6
1038,7
1740,8
1255,9
1338,10
1423,11
1867,12
1625,13
1973,14
1069,15
1128,16
1595,17
1578,18
549,19
58,20
162,21
323,22
671,23
638,24
352,25
2022,26
999,27
522,28
1866,29
1591,30
1789,31
444,32
825,33
1061,34
319,35
336,36
531,37
1288,38
734,39
1336,40
1941,41
385,42
731,43
32,44
1217,45
329,46
1608,47
374,48
1770,49
253,50
38,51
2031,52
140,53
1277,54
1280,55
80,56
254,57
1256,58
396,59
1201,60
809,61
1029,62
447,63
1263,64
1267,65
644,66
141,67
1306,68
558,69
905,70
1938,71
575,72
1334,72
1215,74
1250,75
1109,76
1045,77
815,78
1666,79
386,80
1602,81
1124,82
992,83
1665,84
997,85
148,86
1422,86
199,88
1900,89
1443,90
843,91
1307,92
976,93
429,94
1204,95
569,96
1485,97
158,98
1116,99
1317,100
363,101
776,102
597,103
1892,104
1408,105
264,106
1074,107
820,108
1719,109
505,110
661,111
1527,112
1472,113
625,114
546,115
1550,116
1430,117
1655,118
1523,119
851,120
1824,121
612,122
1264,123
327,124
1520,125
410,126
468,127
1676,128
1837,129
23,130
664,131
1677,132
1644,133
981,134
730,135
84,136
1424,137
1539,138
520,139
901,140
568,141
1352,142
1005,143
1661,144
431,145
131,146
867,147
